Country,GDP,Inflation,Interest Rate,Forex Reserves
CN,17794783039552.0,0.234836828893051,4.96128802760332,3449544415518.98
IN,3567551674623.01,5.64914318907925,,627792750126.715
RU,2021421476035.42,,4.24838463209547,597217063819.197
BR,2173665655937.27,4.59356282283204,37.2075093316886,355021395541.562
ZA,380699271814.508,6.0739085322053,6.3887935898176,62491675820.3129
