Country,Exports,Imports,GDP,Inflation CPI,Real Interest Rate,Forex Reserves,Debt to GDP,GDP Growth,Country Name,Normalized GDP Growth,Normalized Inflation CPI,Stability Score,base currency,Weighted_Exports,Weighted_Imports,BOT,BOT_Penalty,SBC_Weight,BRICS_Currency_Value,Exchange_Rate_BC
CN,3513.2368855270697,3127.20161605071,17794.783039552,0.234836828893051,4.96128802760332,3449.54441551898,84.38,5.24955786387791,China,0.524955786387791,0.7734836828893051,0.649219734638548,Yuan,3513.2368855270697,3127.20161605071,386.03526947635964,1.0,0.6860474958314954,0.7009304269320457,1.4266751186376287
IN,779.4462353232719,858.839501091307,3567.5516746230096,5.64914318907925,1.70461092850436,627.792750126715,81.59,8.1529363109041,India,0.81529363109041,0.685085681092075,0.7501896560912424,Rupee,779.4462353232719,858.839501091307,-79.39326576803512,0.9977745727880333,0.13754086729714868,0.13418071996749512,7.452635522020206
RU,466.604779915476,378.92601123261403,2021.42147603542,6.69445891957612,4.24838463209547,597.217063819197,19.5062376778091,3.60000000000001,Russia,0.360000000000001,0.5805541080423879,0.47027705402119446,Ruble,466.604779915476,378.92601123261403,87.67876868286197,1.0,0.07793245574119789,0.08131276105645621,12.298192645379372
BR,393.656923982556,342.21468630741,2173.66565593727,4.59356282283204,37.2075093316886,355.021395541562,83.6989369386242,2.90848048667777,Brazil,0.290848048667777,0.790643717716796,0.5407458831922864,Real,393.656923982556,342.21468630741,51.44223767514603,1.0,0.08380197031434176,0.08578523800906782,11.657017258543904
ZA,124.696245269168,123.443903852979,380.699271814508,6.0739085322053,6.3887935898176,62.4916758203129,76.2372383337531,0.698485194788034,South Africa,0.0698485194788034,0.64260914677947,0.3562288331291367,Rand,124.696245269168,123.443903852979,1.2523414161889974,1.0,0.014677210815816296,0.014725492702175508,67.9094425039009
